,FileName,CreatedTime,ModifiedTime,FileLocation,Event
0,F:/temp/dir\this.txt,2022-05-09 17:44:46.647039,2022-05-09 17:44:46.647039,F:/temp/dir,modified
1,F:/temp/dir\this.txt,2022-05-09 17:44:46.647039,2022-05-09 17:47:16.015230,F:/temp/dir,modified
2,F:/temp/dir\this.txt,2022-05-09 17:44:46.647039,2022-05-09 17:47:18.089112,F:/temp/dir,modified
3,this.txt,2022-05-09 17:50:47.356203,2022-05-09 17:50:47.357204,F:/temp/dir,modified
4,New folder,2022-05-09 17:51:02.084079,2022-05-09 17:51:02.084079,F:/temp/dir,created
5,New folder\New Text Document.txt,2022-05-09 17:51:09.090945,2022-05-09 17:51:09.090945,F:/temp/dir,created
6,New folder,2022-05-09 17:51:09.097951,2022-05-09 17:51:09.097951,F:/temp/dir,modified
7,New folder\this.txt,2022-05-09 17:51:10.561281,2022-05-09 17:51:10.561281,F:/temp/dir,moved from New folder\New Text Document.txt to New folder\this.txt
8,New folder,2022-05-09 17:51:10.564283,2022-05-09 17:51:10.564283,F:/temp/dir,modified
9,this.txt,2022-05-09 17:54:03.833165,2022-05-09 17:54:03.833165,F:/temp/dir\New folder,modified
